protein,nuclear bodies,microtubules,rods & rings,endoplasmic reticulum,centrosome,secretory,cytosol,aggresome,mitochondria,secreted proteins,mitotic chromosome,golgi apparatus,cytoplasmic bodies,plasma membrane,nucleoli,nucleoli rim,actin filaments,focal adhesion sites,cleavage furrow,midbody ring,endosomes,cell junctions,cytokinetic bridge,microtubule ends,lysosomes,nuclear speckles,endomembrane system,midbody,mitotic spindle,vesicles,nucleoli fibrillar center,peroxisomes,lipid droplets,centriolar satellite,nucleoplasm,intermediate filaments,cytoplasm,nuclear membrane,nucleus,kinetochore,miss_subcell,RNA line ab,binary_RNA line ab,go_feature_0,go_feature_1,go_feature_2,go_feature_3,go_feature_4,go_feature_5,go_feature_6,go_feature_7,go_feature_8,go_feature_9,go_feature_10,go_feature_11,go_feature_12,go_feature_13,go_feature_14,go_feature_15,go_feature_16,go_feature_17,go_feature_18,go_feature_19,go_feature_20,go_feature_21,go_feature_22,go_feature_23,go_feature_24,go_feature_25,go_feature_26,go_feature_27,go_feature_28,go_feature_29,go_feature_30,go_feature_31,go_feature_32,go_feature_33,go_feature_34,go_feature_35,go_feature_36,go_feature_37,go_feature_38,go_feature_39,go_feature_40,go_feature_41,go_feature_42,go_feature_43,go_feature_44,go_feature_45,go_feature_46,go_feature_47,go_feature_48,go_feature_49,go_feature_50,go_feature_51,go_feature_52,go_feature_53,go_feature_54,go_feature_55,go_feature_56,go_feature_57,go_feature_58,go_feature_59,go_feature_60,go_feature_61,go_feature_62,go_feature_63,Has_Missing,label
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,1
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,1
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,1
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
9606.ENSP00000359675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3,1,0.204675704,-0.65292269,-0.243869051,-0.140469819,-0.166230321,0.03471281,-0.195105165,-0.550985098,0.121465102,-0.402929872,-0.076095469,-0.210711777,0.615693033,-0.136594221,-0.093162537,-0.156752482,-0.026354853,-0.659489274,-0.249341443,0.136211112,0.314985633,-0.490376264,0.284528971,-0.011330757,-0.24146314,0.256829143,0.228543788,-0.061827842,0.060498409,-0.00534267,-0.142870978,-0.07797531,-0.153548703,-0.113860101,-0.335546553,0.251453519,0.689351976,0.370096385,0.123208374,-0.435710549,-0.329220772,0.104804501,0.236659959,-0.016522357,0.357524484,0.150854275,0.055406258,0.77777046,-0.234085709,-0.380607456,-0.606541157,-0.29363215,-0.543806612,-0.072509989,-0.529835224,-0.121165253,-0.241219684,-0.346732825,-0.313168317,0.10581059,-0.124485604,0.633357286,-0.32325995,0.115831561,0,0
